regiao,estado,municipio,codigo_mun,capital,porte,populacao,area,densidade_dem,pib,pib_pc,participacao_transf_receita,servidores,comissionados,comissionados_por_servidor,perc_pop_econ_ativa,taxa_empreendedorismo,anos_estudo_empreendedor,jornada_trabalho,gasto_pc_saude,hab_p_medico,exp_vida,gasto_pc_educacao,exp_anos_estudo,nota_ciencias,nota_humanas,nota_linguagem,nota_mat,nota_redacao,idhm,ranking_igm,indice_governanca
SUDESTE,SP,ILHABELA,3520400,0,Pequeno porte 2,"32,782",347.52,81.1,3256711.64,105112.86,77.0,1495.0,74.0,5%,1.18,0.22,8.43612852911521,42.7262311391165,1529.48,394.9875,75.56,1734.52,10.63,482.0543478260869,541.226086956522,530.6511111111108,507.952777777778,499.3611111111112,0.747,1º,0.767
SUDESTE,SP,SANTANA DE PARNAIBA,3547304,0,Grande porte,"129,261",179.95,604.7,7373602.99,60939.87,51.0,6157.0,587.0,10%,1.04,0.25,10.869492335727804,42.542934883375395,1017.67,400.728155339806,75.92,1704.93,10.01,483.99762532981583,542.7604221635892,535.7651286601596,499.91109139307923,547.5066548358474,0.885,2º,0.759
SUL,SC,BOMBINHAS,4202453,0,Pequeno porte 1,"18,052",35.92,398,377357.32,23135.14,32.0,583.0,48.0,8%,1.09,0.32,8.83667844153451,40.3143349862262,830.7,1126.46666666667,76.86,1370.96,10.44,472.1056074766355,541.9495327102804,523.2519230769232,474.50673076923056,515.0,0.807,3º,0.758
SUDESTE,SP,SAO BERNARDO DO CAMPO,3548708,0,Grande porte,"822,242",409.53,"1,869.40",47668531.31,59149.8,49.0,10673.0,611.0,6%,1.09,0.18,9.659423647907401,42.6205219535694,1113.74,2459.05757575758,76.65,770.79,10.22,489.2415144372419,552.6161903358857,546.1737209994044,514.2043575252835,557.6680547293279,0.8640000000000001,4º,0.7559999999999999
CENTRO-OESTE,DF,BRASILIA,5300108,1,Grande porte,"2,977,216","5,780.00",444.7,175362791.42,62859.43,35.0,119072.0,6288.0,5%,1.1,0.18,9.187699771132099,39.546425755334795,1982.45,572.880498091986,77.35,2077.49,9.87,493.51475767340736,551.9824984539249,538.3666117554056,509.20600619399215,567.991532683184,0.909,5º,0.736
SUDESTE,SP,SANTOS,3548500,0,Grande porte,"434,359",280.67,"1,494.30",19265873.5,44478.22,39.0,11391.0,205.0,2%,1.04,0.24,11.293142839507501,42.14680463674,1074.31,795.532110091743,76.13,1141.13,10.84,502.0777569509527,560.6736019993748,553.9931659249849,524.7790209790197,570.1446280991737,0.947,6º,0.731
SUDESTE,SP,INDAIATUBA,3520509,0,Grande porte,"235,367",311.55,646.1,10303801.98,46404.74,47.0,4801.0,496.0,10%,1.13,0.19,9.09699684474595,42.9358606729594,719.33,1211.77540106952,75.22,850.96,10.68,489.8417342799185,552.8093813387426,547.4338868707835,518.3308770108973,553.8323819408407,0.823,7º,0.727
SUL,RS,GRAMADO,4309100,0,Pequeno porte 2,"34,832",237.83,135.7,1341090.44,39316.64,38.0,1008.0,218.0,22%,1.22,0.26,8.29629193909979,43.4221003306236,817.78,1272.77777777778,76.64,1175.58,10.61,487.4403141361257,552.1361256544503,540.6430851063828,513.4313829787235,542.5531914893618,0.7659999999999999,8º,0.727
SUL,SC,BALNEARIO CAMBORIU,4202008,0,Grande porte,"131,727",46.24,"2,337.70",3882423.04,32105.78,27.0,2815.0,286.0,10%,1.19,0.32,10.6846738332071,41.9880445626003,824.92,1916.26153846154,78.62,894.28,10.47,492.4566912539509,551.0785036880935,537.2688506981739,513.5693877551015,552.1160042964556,0.959,9º,0.726
SUL,SC,RIO DO SUL,4214805,0,Médio porte,"68,217",260.97,235.1,2042374.12,31297.87,65.0,1173.0,98.0,8%,1.18,0.21,8.8991417308872,43.8195106369238,1087.28,5096.23076923077,78.61,689.73,10.16,501.0789893617023,549.4449468085113,537.1479025710418,522.6952638700952,562.5033829499323,0.857,10º,0.72
